X111	X112	X121	X122	X211	X212	X221	X222	E111	E112	E121	E122	E211	E212	E221	E222	EX1	DIC1	EM1	EX2	DIC2	EM2
0.999168	0.999168	0.000832	0.000832	0.003407	0.003407	0.996593	0.996593	0.000027	0.000027	0.000000	0.000000	0.015864	0.015864	4.640279	4.640279	15	0	0	6	0	0
0.997147	0.997147	0.002853	0.002853	0.003284	0.003284	0.996716	0.996716	7.641384	7.641384	0.021860	0.021860	0.013040	0.013040	3.957530	3.957530	16	0	0	6	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	6.420818	6.420818	0.018347	0.018347	0.000000	0.000000	0.000051	0.000051	17	0	0	6	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	0.000075	0.000075	0.000000	0.000000	0.000000	0.000000	0.000049	0.000049	18	0	0	6	0	0
0.997151	0.997151	0.002849	0.002849	0.003409	0.003409	0.996591	0.996591	0.000079	0.000079	0.000000	0.000000	0.014392	0.014392	4.207599	4.207599	19	0	0	6	0	0
0.997151	0.997151	0.002849	0.002849	0.003400	0.003400	0.996600	0.996600	0.000079	0.000079	0.000000	0.000000	0.013431	0.013431	3.936794	3.936794	20	0	0	6	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	0.000079	0.000079	0.000000	0.000000	0.000000	0.000000	0.000051	0.000051	21	0	0	6	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	0.000079	0.000079	0.000000	0.000000	0.000000	0.000000	0.000051	0.000051	22	0	0	6	0	0
0	0	0	0	0.003409	0.003409	0.996591	0.996591	0.000000	0.000000	0.000000	0.000000	0.014650	0.014650	4.283194	4.283194	0	0	0	7	0	0
0	0	0	0	0.003417	0.003417	0.996583	0.996583	0.000000	0.000000	0.000000	0.000000	0.014420	0.014420	4.205656	4.205656	1	0	0	7	0	0
0.997151	0.997151	0.002849	0.002849	0.003422	0.003422	0.996578	0.996578	0.000079	0.000079	0.000000	0.000000	0.014303	0.014303	4.165464	4.165464	2	0	0	7	0	0
0.997209	0.997209	0.002791	0.002791	0.003332	0.003332	0.996668	0.996668	4.209225	4.209225	0.011782	0.011782	0.010832	0.010832	3.239874	3.239874	3	0	0	7	0	0
0.998442	0.998442	0.001558	0.001558	0.003414	0.003414	0.996586	0.996586	0.000197	0.000197	0.000000	0.000000	0.016537	0.016537	4.827650	4.827650	4	0	0	7	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	0.000075	0.000075	0.000000	0.000000	0.000000	0.000000	0.000049	0.000049	5	0	0	7	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	0.000075	0.000075	0.000000	0.000000	0.000000	0.000000	0.000049	0.000049	6	0	0	7	0	0
0.999278	0.999278	0.000722	0.000722	0.003418	0.003418	0.996582	0.996582	0.004873	0.004873	0.000004	0.000004	0.000000	0.000000	0.000049	0.000049	7	0	0	7	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	0.000075	0.000075	0.000000	0.000000	0.017061	0.017061	4.974174	4.974174	8	0	0	7	0	0
0.997236	0.997236	0.002764	0.002764	0.003400	0.003400	0.996600	0.996600	7.615893	7.615893	0.021107	0.021107	0.000000	0.000000	0.000000	0.000000	9	0	0	7	0	0
0.998390	0.998390	0.001610	0.001610	0.002774	0.002774	0.997226	0.997226	0.000000	0.000000	0.000000	0.000000	0.000020	0.000020	0.007213	0.007213	10	0	0	7	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	0.000079	0.000079	0.000000	0.000000	0.000000	0.000000	0.000051	0.000051	11	0	0	7	0	0
0.999278	0.999278	0.000722	0.000722	0.003418	0.003418	0.996582	0.996582	0.004873	0.004873	0.000004	0.000004	0.000000	0.000000	0.000049	0.000049	12	0	0	7	0	0
0.997226	0.997226	0.002774	0.002774	0.003422	0.003422	0.996578	0.996578	0.000220	0.000220	0.000001	0.000001	0.016777	0.016777	4.886512	4.886512	13	0	0	7	0	0
0.999284	0.999284	0.000716	0.000716	0.003416	0.003416	0.996584	0.996584	0.071094	0.071094	0.000051	0.000051	0.016941	0.016941	4.942252	4.942252	14	0	0	7	0	0
0.999168	0.999168	0.000832	0.000832	0.003407	0.003407	0.996593	0.996593	0.000027	0.000027	0.000000	0.000000	0.015864	0.015864	4.640279	4.640279	15	0	0	7	0	0
0.997147	0.997147	0.002853	0.002853	0.003284	0.003284	0.996716	0.996716	7.641384	7.641384	0.021860	0.021860	0.013040	0.013040	3.957530	3.957530	16	0	0	7	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	6.420818	6.420818	0.018347	0.018347	0.000000	0.000000	0.000051	0.000051	17	0	0	7	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	0.000075	0.000075	0.000000	0.000000	0.000000	0.000000	0.000049	0.000049	18	0	0	7	0	0
0.997151	0.997151	0.002849	0.002849	0.003409	0.003409	0.996591	0.996591	0.000079	0.000079	0.000000	0.000000	0.014392	0.014392	4.207599	4.207599	19	0	0	7	0	0
0.997151	0.997151	0.002849	0.002849	0.003400	0.003400	0.996600	0.996600	0.000079	0.000079	0.000000	0.000000	0.013431	0.013431	3.936794	3.936794	20	0	0	7	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	0.000079	0.000079	0.000000	0.000000	0.000000	0.000000	0.000051	0.000051	21	0	0	7	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	0.000079	0.000079	0.000000	0.000000	0.000000	0.000000	0.000051	0.000051	22	0	0	7	0	0
0	0	0	0	0.003409	0.003409	0.996591	0.996591	0.000000	0.000000	0.000000	0.000000	0.014650	0.014650	4.283194	4.283194	0	0	0	8	0	0
0	0	0	0	0.003417	0.003417	0.996583	0.996583	0.000000	0.000000	0.000000	0.000000	0.014420	0.014420	4.205656	4.205656	1	0	0	8	0	0
0.997151	0.997151	0.002849	0.002849	0.003422	0.003422	0.996578	0.996578	0.000079	0.000079	0.000000	0.000000	0.014303	0.014303	4.165464	4.165464	2	0	0	8	0	0
0.997209	0.997209	0.002791	0.002791	0.003332	0.003332	0.996668	0.996668	4.209225	4.209225	0.011782	0.011782	0.010832	0.010832	3.239874	3.239874	3	0	0	8	0	0
0.998442	0.998442	0.001558	0.001558	0.003414	0.003414	0.996586	0.996586	0.000197	0.000197	0.000000	0.000000	0.016537	0.016537	4.827650	4.827650	4	0	0	8	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	0.000075	0.000075	0.000000	0.000000	0.000000	0.000000	0.000049	0.000049	5	0	0	8	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	0.000075	0.000075	0.000000	0.000000	0.000000	0.000000	0.000049	0.000049	6	0	0	8	0	0
0.999278	0.999278	0.000722	0.000722	0.003418	0.003418	0.996582	0.996582	0.004873	0.004873	0.000004	0.000004	0.000000	0.000000	0.000049	0.000049	7	0	0	8	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	0.000075	0.000075	0.000000	0.000000	0.017061	0.017061	4.974174	4.974174	8	0	0	8	0	0
0.997236	0.997236	0.002764	0.002764	0.003400	0.003400	0.996600	0.996600	7.615893	7.615893	0.021107	0.021107	0.000000	0.000000	0.000000	0.000000	9	0	0	8	0	0
0.998390	0.998390	0.001610	0.001610	0.002774	0.002774	0.997226	0.997226	0.000000	0.000000	0.000000	0.000000	0.000020	0.000020	0.007213	0.007213	10	0	0	8	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	0.000079	0.000079	0.000000	0.000000	0.000000	0.000000	0.000051	0.000051	11	0	0	8	0	0
0.999278	0.999278	0.000722	0.000722	0.003418	0.003418	0.996582	0.996582	0.004873	0.004873	0.000004	0.000004	0.000000	0.000000	0.000049	0.000049	12	0	0	8	0	0
0.997226	0.997226	0.002774	0.002774	0.003422	0.003422	0.996578	0.996578	0.000220	0.000220	0.000001	0.000001	0.016777	0.016777	4.886512	4.886512	13	0	0	8	0	0
0.999284	0.999284	0.000716	0.000716	0.003416	0.003416	0.996584	0.996584	0.071094	0.071094	0.000051	0.000051	0.016941	0.016941	4.942252	4.942252	14	0	0	8	0	0
0.999168	0.999168	0.000832	0.000832	0.003407	0.003407	0.996593	0.996593	0.000027	0.000027	0.000000	0.000000	0.015864	0.015864	4.640279	4.640279	15	0	0	8	0	0
0.997147	0.997147	0.002853	0.002853	0.003284	0.003284	0.996716	0.996716	7.641384	7.641384	0.021860	0.021860	0.013040	0.013040	3.957530	3.957530	16	0	0	8	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	6.420818	6.420818	0.018347	0.018347	0.000000	0.000000	0.000051	0.000051	17	0	0	8	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	0.000075	0.000075	0.000000	0.000000	0.000000	0.000000	0.000049	0.000049	18	0	0	8	0	0
0.997151	0.997151	0.002849	0.002849	0.003409	0.003409	0.996591	0.996591	0.000079	0.000079	0.000000	0.000000	0.014392	0.014392	4.207599	4.207599	19	0	0	8	0	0
0.997151	0.997151	0.002849	0.002849	0.003400	0.003400	0.996600	0.996600	0.000079	0.000079	0.000000	0.000000	0.013431	0.013431	3.936794	3.936794	20	0	0	8	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	0.000079	0.000079	0.000000	0.000000	0.000000	0.000000	0.000051	0.000051	21	0	0	8	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	0.000079	0.000079	0.000000	0.000000	0.000000	0.000000	0.000051	0.000051	22	0	0	8	0	0
0	0	0	0	0.003409	0.003409	0.996591	0.996591	0.000000	0.000000	0.000000	0.000000	0.014650	0.014650	4.283194	4.283194	0	0	0	9	0	0
0	0	0	0	0.003417	0.003417	0.996583	0.996583	0.000000	0.000000	0.000000	0.000000	0.014420	0.014420	4.205656	4.205656	1	0	0	9	0	0
0.997151	0.997151	0.002849	0.002849	0.003422	0.003422	0.996578	0.996578	0.000079	0.000079	0.000000	0.000000	0.014303	0.014303	4.165464	4.165464	2	0	0	9	0	0
0.997209	0.997209	0.002791	0.002791	0.003332	0.003332	0.996668	0.996668	4.209225	4.209225	0.011782	0.011782	0.010832	0.010832	3.239874	3.239874	3	0	0	9	0	0
0.998442	0.998442	0.001558	0.001558	0.003414	0.003414	0.996586	0.996586	0.000197	0.000197	0.000000	0.000000	0.016537	0.016537	4.827650	4.827650	4	0	0	9	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	0.000075	0.000075	0.000000	0.000000	0.000000	0.000000	0.000049	0.000049	5	0	0	9	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	0.000075	0.000075	0.000000	0.000000	0.000000	0.000000	0.000049	0.000049	6	0	0	9	0	0
0.999278	0.999278	0.000722	0.000722	0.003418	0.003418	0.996582	0.996582	0.004873	0.004873	0.000004	0.000004	0.000000	0.000000	0.000049	0.000049	7	0	0	9	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	0.000075	0.000075	0.000000	0.000000	0.017061	0.017061	4.974174	4.974174	8	0	0	9	0	0
0.997236	0.997236	0.002764	0.002764	0.003400	0.003400	0.996600	0.996600	7.615893	7.615893	0.021107	0.021107	0.000000	0.000000	0.000000	0.000000	9	0	0	9	0	0
0.998390	0.998390	0.001610	0.001610	0.002774	0.002774	0.997226	0.997226	0.000000	0.000000	0.000000	0.000000	0.000020	0.000020	0.007213	0.007213	10	0	0	9	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	0.000079	0.000079	0.000000	0.000000	0.000000	0.000000	0.000051	0.000051	11	0	0	9	0	0
0.999278	0.999278	0.000722	0.000722	0.003418	0.003418	0.996582	0.996582	0.004873	0.004873	0.000004	0.000004	0.000000	0.000000	0.000049	0.000049	12	0	0	9	0	0
0.997226	0.997226	0.002774	0.002774	0.003422	0.003422	0.996578	0.996578	0.000220	0.000220	0.000001	0.000001	0.016777	0.016777	4.886512	4.886512	13	0	0	9	0	0
0.999284	0.999284	0.000716	0.000716	0.003416	0.003416	0.996584	0.996584	0.071094	0.071094	0.000051	0.000051	0.016941	0.016941	4.942252	4.942252	14	0	0	9	0	0
0.999168	0.999168	0.000832	0.000832	0.003407	0.003407	0.996593	0.996593	0.000027	0.000027	0.000000	0.000000	0.015864	0.015864	4.640279	4.640279	15	0	0	9	0	0
0.997147	0.997147	0.002853	0.002853	0.003284	0.003284	0.996716	0.996716	7.641384	7.641384	0.021860	0.021860	0.013040	0.013040	3.957530	3.957530	16	0	0	9	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	6.420818	6.420818	0.018347	0.018347	0.000000	0.000000	0.000051	0.000051	17	0	0	9	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	0.000075	0.000075	0.000000	0.000000	0.000000	0.000000	0.000049	0.000049	18	0	0	9	0	0
0.997151	0.997151	0.002849	0.002849	0.003409	0.003409	0.996591	0.996591	0.000079	0.000079	0.000000	0.000000	0.014392	0.014392	4.207599	4.207599	19	0	0	9	0	0
0.997151	0.997151	0.002849	0.002849	0.003400	0.003400	0.996600	0.996600	0.000079	0.000079	0.000000	0.000000	0.013431	0.013431	3.936794	3.936794	20	0	0	9	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	0.000079	0.000079	0.000000	0.000000	0.000000	0.000000	0.000051	0.000051	21	0	0	9	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	0.000079	0.000079	0.000000	0.000000	0.000000	0.000000	0.000051	0.000051	22	0	0	9	0	0
0	0	0	0	0.003409	0.003409	0.996591	0.996591	0.000000	0.000000	0.000000	0.000000	0.014650	0.014650	4.283194	4.283194	0	0	0	10	0	0
0	0	0	0	0.003417	0.003417	0.996583	0.996583	0.000000	0.000000	0.000000	0.000000	0.014420	0.014420	4.205656	4.205656	1	0	0	10	0	0
0.997151	0.997151	0.002849	0.002849	0.003422	0.003422	0.996578	0.996578	0.000079	0.000079	0.000000	0.000000	0.014303	0.014303	4.165464	4.165464	2	0	0	10	0	0
0.997209	0.997209	0.002791	0.002791	0.003332	0.003332	0.996668	0.996668	4.209225	4.209225	0.011782	0.011782	0.010832	0.010832	3.239874	3.239874	3	0	0	10	0	0
0.998442	0.998442	0.001558	0.001558	0.003414	0.003414	0.996586	0.996586	0.000197	0.000197	0.000000	0.000000	0.016537	0.016537	4.827650	4.827650	4	0	0	10	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	0.000075	0.000075	0.000000	0.000000	0.000000	0.000000	0.000049	0.000049	5	0	0	10	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	0.000075	0.000075	0.000000	0.000000	0.000000	0.000000	0.000049	0.000049	6	0	0	10	0	0
0.999278	0.999278	0.000722	0.000722	0.003418	0.003418	0.996582	0.996582	0.004873	0.004873	0.000004	0.000004	0.000000	0.000000	0.000049	0.000049	7	0	0	10	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	0.000075	0.000075	0.000000	0.000000	0.017061	0.017061	4.974174	4.974174	8	0	0	10	0	0
0.997236	0.997236	0.002764	0.002764	0.003400	0.003400	0.996600	0.996600	7.615893	7.615893	0.021107	0.021107	0.000000	0.000000	0.000000	0.000000	9	0	0	10	0	0
0.998390	0.998390	0.001610	0.001610	0.002774	0.002774	0.997226	0.997226	0.000000	0.000000	0.000000	0.000000	0.000020	0.000020	0.007213	0.007213	10	0	0	10	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	0.000079	0.000079	0.000000	0.000000	0.000000	0.000000	0.000051	0.000051	11	0	0	10	0	0
0.999278	0.999278	0.000722	0.000722	0.003418	0.003418	0.996582	0.996582	0.004873	0.004873	0.000004	0.000004	0.000000	0.000000	0.000049	0.000049	12	0	0	10	0	0
0.997226	0.997226	0.002774	0.002774	0.003422	0.003422	0.996578	0.996578	0.000220	0.000220	0.000001	0.000001	0.016777	0.016777	4.886512	4.886512	13	0	0	10	0	0
0.999284	0.999284	0.000716	0.000716	0.003416	0.003416	0.996584	0.996584	0.071094	0.071094	0.000051	0.000051	0.016941	0.016941	4.942252	4.942252	14	0	0	10	0	0
0.999168	0.999168	0.000832	0.000832	0.003407	0.003407	0.996593	0.996593	0.000027	0.000027	0.000000	0.000000	0.015864	0.015864	4.640279	4.640279	15	0	0	10	0	0
0.997147	0.997147	0.002853	0.002853	0.003284	0.003284	0.996716	0.996716	7.641384	7.641384	0.021860	0.021860	0.013040	0.013040	3.957530	3.957530	16	0	0	10	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	6.420818	6.420818	0.018347	0.018347	0.000000	0.000000	0.000051	0.000051	17	0	0	10	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	0.000075	0.000075	0.000000	0.000000	0.000000	0.000000	0.000049	0.000049	18	0	0	10	0	0
0.997151	0.997151	0.002849	0.002849	0.003409	0.003409	0.996591	0.996591	0.000079	0.000079	0.000000	0.000000	0.014392	0.014392	4.207599	4.207599	19	0	0	10	0	0
0.997151	0.997151	0.002849	0.002849	0.003400	0.003400	0.996600	0.996600	0.000079	0.000079	0.000000	0.000000	0.013431	0.013431	3.936794	3.936794	20	0	0	10	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	0.000079	0.000079	0.000000	0.000000	0.000000	0.000000	0.000051	0.000051	21	0	0	10	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	0.000079	0.000079	0.000000	0.000000	0.000000	0.000000	0.000051	0.000051	22	0	0	10	0	0
0	0	0	0	0.003409	0.003409	0.996591	0.996591	0.000000	0.000000	0.000000	0.000000	0.014650	0.014650	4.283194	4.283194	0	0	0	11	0	0
0	0	0	0	0.003417	0.003417	0.996583	0.996583	0.000000	0.000000	0.000000	0.000000	0.014420	0.014420	4.205656	4.205656	1	0	0	11	0	0
0.997151	0.997151	0.002849	0.002849	0.003422	0.003422	0.996578	0.996578	0.000079	0.000079	0.000000	0.000000	0.014303	0.014303	4.165464	4.165464	2	0	0	11	0	0
0.997209	0.997209	0.002791	0.002791	0.003332	0.003332	0.996668	0.996668	4.209225	4.209225	0.011782	0.011782	0.010832	0.010832	3.239874	3.239874	3	0	0	11	0	0
0.998442	0.998442	0.001558	0.001558	0.003414	0.003414	0.996586	0.996586	0.000197	0.000197	0.000000	0.000000	0.016537	0.016537	4.827650	4.827650	4	0	0	11	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	0.000075	0.000075	0.000000	0.000000	0.000000	0.000000	0.000049	0.000049	5	0	0	11	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	0.000075	0.000075	0.000000	0.000000	0.000000	0.000000	0.000049	0.000049	6	0	0	11	0	0
0.999278	0.999278	0.000722	0.000722	0.003418	0.003418	0.996582	0.996582	0.004873	0.004873	0.000004	0.000004	0.000000	0.000000	0.000049	0.000049	7	0	0	11	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	0.000075	0.000075	0.000000	0.000000	0.017061	0.017061	4.974174	4.974174	8	0	0	11	0	0
0.997236	0.997236	0.002764	0.002764	0.003400	0.003400	0.996600	0.996600	7.615893	7.615893	0.021107	0.021107	0.000000	0.000000	0.000000	0.000000	9	0	0	11	0	0
0.998390	0.998390	0.001610	0.001610	0.002774	0.002774	0.997226	0.997226	0.000000	0.000000	0.000000	0.000000	0.000020	0.000020	0.007213	0.007213	10	0	0	11	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	0.000079	0.000079	0.000000	0.000000	0.000000	0.000000	0.000051	0.000051	11	0	0	11	0	0
0.999278	0.999278	0.000722	0.000722	0.003418	0.003418	0.996582	0.996582	0.004873	0.004873	0.000004	0.000004	0.000000	0.000000	0.000049	0.000049	12	0	0	11	0	0
0.997226	0.997226	0.002774	0.002774	0.003422	0.003422	0.996578	0.996578	0.000220	0.000220	0.000001	0.000001	0.016777	0.016777	4.886512	4.886512	13	0	0	11	0	0
0.999284	0.999284	0.000716	0.000716	0.003416	0.003416	0.996584	0.996584	0.071094	0.071094	0.000051	0.000051	0.016941	0.016941	4.942252	4.942252	14	0	0	11	0	0
0.999168	0.999168	0.000832	0.000832	0.003407	0.003407	0.996593	0.996593	0.000027	0.000027	0.000000	0.000000	0.015864	0.015864	4.640279	4.640279	15	0	0	11	0	0
0.997147	0.997147	0.002853	0.002853	0.003284	0.003284	0.996716	0.996716	7.641384	7.641384	0.021860	0.021860	0.013040	0.013040	3.957530	3.957530	16	0	0	11	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	6.420818	6.420818	0.018347	0.018347	0.000000	0.000000	0.000051	0.000051	17	0	0	11	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	0.000075	0.000075	0.000000	0.000000	0.000000	0.000000	0.000049	0.000049	18	0	0	11	0	0
0.997151	0.997151	0.002849	0.002849	0.003409	0.003409	0.996591	0.996591	0.000079	0.000079	0.000000	0.000000	0.014392	0.014392	4.207599	4.207599	19	0	0	11	0	0
0.997151	0.997151	0.002849	0.002849	0.003400	0.003400	0.996600	0.996600	0.000079	0.000079	0.000000	0.000000	0.013431	0.013431	3.936794	3.936794	20	0	0	11	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	0.000079	0.000079	0.000000	0.000000	0.000000	0.000000	0.000051	0.000051	21	0	0	11	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	0.000079	0.000079	0.000000	0.000000	0.000000	0.000000	0.000051	0.000051	22	0	0	11	0	0
0	0	0	0	0.003409	0.003409	0.996591	0.996591	0.000000	0.000000	0.000000	0.000000	0.014650	0.014650	4.283194	4.283194	0	0	0	12	0	0
0	0	0	0	0.003417	0.003417	0.996583	0.996583	0.000000	0.000000	0.000000	0.000000	0.014420	0.014420	4.205656	4.205656	1	0	0	12	0	0
0.997151	0.997151	0.002849	0.002849	0.003422	0.003422	0.996578	0.996578	0.000079	0.000079	0.000000	0.000000	0.014303	0.014303	4.165464	4.165464	2	0	0	12	0	0
0.997209	0.997209	0.002791	0.002791	0.003332	0.003332	0.996668	0.996668	4.209225	4.209225	0.011782	0.011782	0.010832	0.010832	3.239874	3.239874	3	0	0	12	0	0
0.998442	0.998442	0.001558	0.001558	0.003414	0.003414	0.996586	0.996586	0.000197	0.000197	0.000000	0.000000	0.016537	0.016537	4.827650	4.827650	4	0	0	12	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	0.000075	0.000075	0.000000	0.000000	0.000000	0.000000	0.000049	0.000049	5	0	0	12	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	0.000075	0.000075	0.000000	0.000000	0.000000	0.000000	0.000049	0.000049	6	0	0	12	0	0
0.999278	0.999278	0.000722	0.000722	0.003418	0.003418	0.996582	0.996582	0.004873	0.004873	0.000004	0.000004	0.000000	0.000000	0.000049	0.000049	7	0	0	12	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	0.000075	0.000075	0.000000	0.000000	0.017061	0.017061	4.974174	4.974174	8	0	0	12	0	0
0.997236	0.997236	0.002764	0.002764	0.003400	0.003400	0.996600	0.996600	7.615893	7.615893	0.021107	0.021107	0.000000	0.000000	0.000000	0.000000	9	0	0	12	0	0
0.998390	0.998390	0.001610	0.001610	0.002774	0.002774	0.997226	0.997226	0.000000	0.000000	0.000000	0.000000	0.000020	0.000020	0.007213	0.007213	10	0	0	12	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	0.000079	0.000079	0.000000	0.000000	0.000000	0.000000	0.000051	0.000051	11	0	0	12	0	0
0.999278	0.999278	0.000722	0.000722	0.003418	0.003418	0.996582	0.996582	0.004873	0.004873	0.000004	0.000004	0.000000	0.000000	0.000049	0.000049	12	0	0	12	0	0
0.997226	0.997226	0.002774	0.002774	0.003422	0.003422	0.996578	0.996578	0.000220	0.000220	0.000001	0.000001	0.016777	0.016777	4.886512	4.886512	13	0	0	12	0	0
0.999284	0.999284	0.000716	0.000716	0.003416	0.003416	0.996584	0.996584	0.071094	0.071094	0.000051	0.000051	0.016941	0.016941	4.942252	4.942252	14	0	0	12	0	0
0.999168	0.999168	0.000832	0.000832	0.003407	0.003407	0.996593	0.996593	0.000027	0.000027	0.000000	0.000000	0.015864	0.015864	4.640279	4.640279	15	0	0	12	0	0
0.997147	0.997147	0.002853	0.002853	0.003284	0.003284	0.996716	0.996716	7.641384	7.641384	0.021860	0.021860	0.013040	0.013040	3.957530	3.957530	16	0	0	12	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	6.420818	6.420818	0.018347	0.018347	0.000000	0.000000	0.000051	0.000051	17	0	0	12	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	0.000075	0.000075	0.000000	0.000000	0.000000	0.000000	0.000049	0.000049	18	0	0	12	0	0
0.997151	0.997151	0.002849	0.002849	0.003409	0.003409	0.996591	0.996591	0.000079	0.000079	0.000000	0.000000	0.014392	0.014392	4.207599	4.207599	19	0	0	12	0	0
0.997151	0.997151	0.002849	0.002849	0.003400	0.003400	0.996600	0.996600	0.000079	0.000079	0.000000	0.000000	0.013431	0.013431	3.936794	3.936794	20	0	0	12	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	0.000079	0.000079	0.000000	0.000000	0.000000	0.000000	0.000051	0.000051	21	0	0	12	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	0.000079	0.000079	0.000000	0.000000	0.000000	0.000000	0.000051	0.000051	22	0	0	12	0	0
0	0	0	0	0.003409	0.003409	0.996591	0.996591	0.000000	0.000000	0.000000	0.000000	0.014650	0.014650	4.283194	4.283194	0	0	0	13	0	0
0	0	0	0	0.003417	0.003417	0.996583	0.996583	0.000000	0.000000	0.000000	0.000000	0.014420	0.014420	4.205656	4.205656	1	0	0	13	0	0
0.997151	0.997151	0.002849	0.002849	0.003422	0.003422	0.996578	0.996578	0.000079	0.000079	0.000000	0.000000	0.014303	0.014303	4.165464	4.165464	2	0	0	13	0	0
0.997209	0.997209	0.002791	0.002791	0.003332	0.003332	0.996668	0.996668	4.209225	4.209225	0.011782	0.011782	0.010832	0.010832	3.239874	3.239874	3	0	0	13	0	0
0.998442	0.998442	0.001558	0.001558	0.003414	0.003414	0.996586	0.996586	0.000197	0.000197	0.000000	0.000000	0.016537	0.016537	4.827650	4.827650	4	0	0	13	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	0.000075	0.000075	0.000000	0.000000	0.000000	0.000000	0.000049	0.000049	5	0	0	13	0	0
0.997151	0.997151	0.002849	0.002849	0.003418	0.003418	0.996582	0.996582	0.000075	0.000075	0.000000	0.000000	0.000000	0.000000	0.000049	0.000049	6	0	0	13	0	0
